,name,organization,date,location,death,type,na,desc
96,Isaivizhi Chempiyan,Voice of Tigers,"November 27, 2007",Sri Lanka,Killed,Crossfire,,"
Announcer Isaivizhi Chempiyan and technicians Suresh Linbiyo and T. Tharmalingam were killed in a Sri Lankan Air Force air strike. Fighter jets dropped a dozen bombs on the station shortly before Velupillai Prabhakaran, leader of the separatist Liberation Tigers of Tamil Eelam (LTTE), was due to broadcast a statement. At least five other people were killed in the strike against the LTTE-run station, according to local media reports.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
97,Jagadish Babu,Eenadu Television (E-TV),"November 19, 1997",India,Killed,Dangerous Assignment,,"
Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TV cameraman; Srinivas Rao and Krishna, assistant cameramen for E-TV; and Raja Sekhar, an assistant for E-TV, were killed in a car bomb explosion while covering the making of a film. 

As they were leaving the Rama Naidu Studios in Hyderabad, their vehicle caught the brunt of the massive blast, which police said was caused by a remote control car bomb parked by the studio entrance. The television crew’s driver, P. Chandra Sekhar Reddy, was also killed. At least 17 others died and more than 30 were injured. The attack is believed to have been motivated by political rivalry targeted at the film’s producer, Paritala Ravi, a former guerrilla leader pardoned in return for his surrender. Ravi is also a state legislator and member of the governing Telugu Desam party.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
98,Jagendra Singh,Freelance,"June 8, 2015",India,Killed,Murder,,"
Jagendra Singh, a freelance journalist who reported critically on politics and current affairs in Hindi-language newspapers and on Facebook, died from burn injuries he sustained after a police raid at his home on June 1, local reports said.
While being treated in hospital for burns covering more than half of his body, Singh made a statement to a police officer, Amitabh Thakur, in which he said another police officer, Sriprakash Rai, had doused him in petrol and set him on fire, the Press Trust of India reported.
Thakur said he has video footage of Singh’s statement, according to reports. In the statement, news reports cite the journalist as saying, “Prakash Rai was there and along with him were present four, five police personnel. The police team, led by Prakash Rai, barged into the house and started assaulting me. They could have as well arrested me.”
The journalist also accused Ram Murti Singh Verma, a member of the ruling Samajwadi Party in India’s most populous state, of “unleashing a reign of terror” on him and his family in reprisal for his investigative reports and critical comments against the minister, Times News Network reported. “Why did they have to burn me?” he reportedly says in the video. “If the minister and his people had something against me, they could have hit me and beaten me instead of pouring kerosene over me and burning me.”
Singh also told Thakur that his foot was broken during an earlier attack on April 28 near his house, by people he alleged were “the minister’s henchmen.”
Singh’s son, Raghvendra, filed a police complaint that named Verma and Rai, according to the Press Trust of India. Raghvendra Singh told The Associated Press that police “barged into our house and questioned my father about the posts. … They started beating him up. … They poured petrol over him and set him on fire.”
Police Superintendent Babloo Kumar told CPJ in 2015 that Singh killed himself when police attempted to arrest him. He said Singh was “wanted in a crime” and denied that he was a journalist, saying “he only wrote on social media.” When asked for further details, Kumar told CPJ Singh was wanted for murder. He said “I don’t remember” when CPJ asked for details of the murder in which the journalist was accused of being involved.
In September 2016, The Times of India reported that Uttar Pradesh state police had dropped the charges against Singh that they had said were the reason for his arrest. According to the report, police in May 2015 registered a case of attempted murder and kidnapping against Singh after a complaint by Amit Bhadauria, also a journalist.
Singh wrote on local politics and current affairs in Hindi-language newspapers and on his two Facebook pages, which have more than 4,000 followers combined. English- and Hindi-language news reports did not specify what newspapers he had written for. His son said Singh posted news stories on Facebook based on information he obtained through India’s Right to Information law and other sources, according to The Indian Express.
Singh often wrote critically about Verma, alleging that he was involved in illegal mining and land grabs, the reports said. In a May 31 Hindi-language Facebook post with an accompanying photo of Verma, the journalist alleged that the minister was involved in the gang rape of a local woman, claims that were also reported in Hindi-language media. In another post a day earlier, Singh questioned the land holdings amassed by the minister.
In a Facebook post on May 22, Singh wrote: “Ram Murti Singh Verma can have me killed. At this time, politician, thugs, and police, all are after me. Writing the truth is bearing heavily on my life. After exposing some of Ram Murti Verma’s acts, he had me attacked…”
CPJ was not able to reach Verma for response to the allegations against him.
No arrests were made immediately after Singh’s death. In the days following Singh’s death, local journalists and members of other political parties called on the chief minister of the state, Akhilesh Yadav, to remove Verma from his cabinet, according to news reports. A public interest litigation filed at the Allahabad High Court demanded a probe by India’s Central Bureau of Investigation, news reports said.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
99,Jamal Uddin,Gramer Kagoj,"June 15, 2012",Bangladesh,Killed,Murder,,"
An unidentified group of men armed with sharp weapons,
including machetes, attacked Uddin at a tea stall in Kashipur village in the
district of Jessore on the border with India, according to news reports. The
assailants slashed his arms, legs, and eyes, leaving him with multiple severe
injuries, news reports said. Uddin died at a local hospital later that night,
the reports said.
Uddin, a reporter for the Bengali-language daily Gramer
Kagoj, had been threatened in the past in relation to his reporting on the
local criminal drug trade, police told local journalists.

In July, police arrested Raju Mollik, who told a Jessore
court that he was among the group of men who had called Uddin to meet at the
tea stall, according to the local news website bdnews24.
Mollik also said he had helped the assailants drug the journalist and attack
him when he passed out, the report said. The suspect said the attack was in
reprisal for his reporting, bdnews24 reported.

Mollik and at least two other suspects were in custody in
late 2012 pending further legal proceedings, according to local news reports.


Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
100,Fazal Wahab,freelance,"January 21, 2003",Pakistan,Killed,Murder,,"
Wahab, a freelance writer, was shot by unidentified gunmen
as he sat in a roadside shop in Manglawar Bazaar, near the resort town of
Mingora in northwestern Pakistan. The shopkeeper and his young assistant also
died in the attack.
Wahab, who lived in Mingora, had published several books in
Urdu and Pashto that were critical of local religious leaders and Islamic
militant organizations. Among Wahab’s work was the book, Mullah Ka Kirdar (The
Mullah’s Role), which analyzed the Islamic clergy’s involvement in politics. He
had also completed a manuscript about Osama bin Laden and the Taliban. 
Local journalists and human rights activists told CPJ that
Wahab had received threats for years in connection with his journalism. The
independent Human Rights Commission of Pakistan found that police took no
evident action to apprehend the killers.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
101,G. Raja Sekhar,Eenadu Television (E-TV),"November 19, 1997",India,Killed,Dangerous Assignment,,"
Raja Sekhar, an assistant for E-TV; Jagadish Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TV
cameraman; and Srinivas Rao and S. Krishna, assistant cameramen for E-TV, were killed in a car bomb explosion
while covering the making of a film.

As they were leaving the Rama
Naidu Studios in Hyderabad, their vehicle caught the brunt of the
massive blast, which police said was caused by a remote control car
bomb parked by the studio entrance. The television crew’s driver, P.
Chandra Sekhar Reddy, was also killed. At least 17 others died and more
than 30 were injured. The attack is believed to have been motivated by
political rivalry targeted at the film’s producer, Paritala Ravi, a
former guerrilla leader pardoned in return for his surrender. Ravi is
also a state legislator and member of the governing Telugu Desam party.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
102,Gauri Lankesh,Gauri Lankesh Patrike,"September 5, 2017",India,Killed,Murder,,"

At least three unidentified assailants fired at Gauri Lankesh outside her home in Bangalore as she returned home from work on September 5, 2017, according to reports that cited witnesses. She was shot in the head and chest and died immediately, according to a report in the Hindustan Times.
Lankesh published and edited Gauri Lankesh Patrike, a Kannada-language weekly tabloid known for its criticism of right-wing extremism and the establishment, according to media reports. The newspaper covered issues including communal violence and the caste system.
Lankesh was part of a government panel involved in shaping a Maoist surrender to state police, according to reports. According to the BBC, the journalist was sympathetic to the Maoist rebels and was involved in the reintegration of former rebels.
K. Siddaramiah, the chief minister of Karnataka state, ordered a 21-member special investigation team from the police to investigate Lankesh’s killing, according to the Indian Express. 
Inderjit Lankesh, the journalist’s brother, said in an interview with NDTV that India’s national agency, the Central Bureau of Investigation, should examine her case. He said that Gauri Lankesh received a lot of hate mail from those who sympathized with the Maoist rebels and said that the investigation should investigate whether Hindu extremists or Maoist rebels are behind the killing, according to India Today. B.T. Venkatesh, a lawyer who represented Gauri Lankesh, alleged in an interview with the media watchdog The Hoot that her murder “was a pre-planned and sinister attack by Hindu terror units.”
The special investigation team filed its initial charge sheet in May 2018, and filed an additional 9,325-page sheet in November 2018, accusing 18 people in connection with the killing, according to a report by NDTV. On January 10, 2020, police made their seventeenth arrest, according to news reports. One suspect remained in hiding as of January 11, according to NDTV.  
Police allege that the killers were members of a criminal syndicate with links to the right-wing Hindu organization Sanatan Sanstha and its offshoot Hindu Janjagruti Samiti, that the suspects were also behind the killings of scholars Narendra Dabholkar and M. M. Kalburgi, and that the syndicate targeted people because of their ideology, according to news reports,
A Sanatan Sanstha representative condemned Lankesh’s killing, according to reports. The group said that the journalist was a Maoist sympathizer who it had nothing to do with, according to reports. 
Lankesh started her career in the 1980s, working as a reporter for English-language dailies including Mid-Day and The Times of India, and the weekly magazine, Sunday. In 2000, after the death of their father, P. Lankesh, Gauri and Indrajit ran Lankesh Patrike, the Kannada-language tabloid their father founded in 1980, according to a profile in Mint. In 2004, she started Gauri Lankesh Patrike.
Lankesh said in an interview with the website NewsLaundry in November 2016, that she had been criticized for her reporting and work. Lankesh said, “Unfortunately, today anybody talking in support of human rights and against fake encounters is branded a Maoist supporter … Along with that, my criticism of Hindutva politics and the caste system, which is part and parcel of what is considered ‘Hindu dharma’ [Hindu duty] makes my critics brand me as a ‘Hindu hater.’”
Lankesh had previously faced legal action over her critical reporting. At the time of her death, she was appealing a six-month prison sentence and fine of 10,000 Indian rupee (US$155) for criminal defamation. The November 2016 conviction was over a 2008 article, according to a report on The Wire. A magistrate granted Lankesh bail and allowed her to appeal the sentence in a higher court, according to a report in The Indian Express. Her lawyer said he didn’t think the killing was related to a defamation case, according to reports.








Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
103,Gautam Das,Samakal,"November 17, 2005",Bangladesh,Killed,Murder,,"
Das, a reporter for the Dhaka-based daily Samakal, was found strangled in his bureau office in the town of Faridpur, 40 miles (64 kilometers) west of the Bangladeshi capital, according to news reports.
  A colleague called police after repeated telephone calls to Das went unanswered and the door of the Samakal bureau in Faridpur remained locked at midday, according to the local advocacy group Media Watch. At 2 p.m., police broke down the door of the office to find Das’ body inside, with fractures to the legs and hand and nylon rope around his neck, according to a statement by the group.
  Although colleagues were not aware of any specific threat against the reporter, they said that Das had written about sensitive topics such as the activities of Islamist militant groups, according to Media Watch. Sumi Khan, a reporter for Samakal, said that Das was known for his reporting on crime and corruption, including coverage of illegal activities by members of the ruling Bangladesh Nationalist Party. The Associated Press reported that Das had recently written about local government officials accused of taking bribes in exchange for construction contract awards.
  Two days later, journalist groups around the country protested the killing and criticized the government for not doing more to protect the press.
  On November 19, police arrested Tamjid Hossain Babu, the son of a local MP, in connection with Das’ murder, according to The Daily Star. Local journalists said police arrested three other suspects.
In 2006, Das’ murder case was transferred from the local district court to the Dhaka Speedy Tribunal Court 1 for expedited judgment after pressure from local journalists. One defendant challenged the legality of this transfer, which resulted in further delays, according to reports.
On June 27, 2013, a court sentenced nine individuals to life in prison in connection with Das’ murder. Eight of the nine convicted were junior politicians belonging to the opposition Bangladesh Nationalist Party, including Babu, according to news reports.
At the time, many local journalists hailed the verdict as a landmark, the first time a Bangladeshi court has successfully prosecuted a murder of a journalist.
On January 30, 2019, the High Court upheld the sentences of five of those who were convicted and acquitted four others, according to news reports. The Daily Star reported that the court upheld the life sentences of Asif Imran, Siddiqur Rahman Miah, Asad Bin Kadir, Abu Taher Mohammad Mortuza Ahsan and Tamzid Hossain Babu.


Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
104,Ghulam Muhammad Lone,Freelancer,"August 29, 1994",India,Killed,Murder,,"
Lone, a newspaper salesman and freelance journalist who contributed to several publications, including the English-language Greater Kashmir, was killed by a group of masked gunmen who also fatally shot his seven-year-old son in their home in Kangan, Kashmir. Lone had reportedly received death threats from a security agent for his coverage of troop movements in Kashmir. Srinagar police attributed the killing to Kashmiri separatists.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
105,Ghulam Rasool,Online International News Network,"August 28, 2014",Pakistan,Killed,Murder,,"
Two unidentified gunmen stormed the offices of the independent news agency Online International News Network in Quetta, the capital of Baluchistan province, killing its reporter-in-training, Ghulam Rasool, also known as Abdul Rasul, and the bureau chief Irshad Mastoi. A network employee, accountant Muhammad Younus, was also killed, according to news reports.
All three were shot several times, according to police. Rasool and Younus were killed immediately, and Mastoi was rushed to the hospital where he was pronounced dead, reports said. The assailants fled the scene, according to reports.
Rasool, who was in his early 20s, was a student in his final year at the media and journalism department of the University of Balochistan Quetta, according to news accounts. He had joined the agency in May 2014 and wrote news reports, but was not assigned to any particular beat. Rasool often accompanied staff journalists on their assignments, his colleagues told CPJ. Prior to working at the agency, Rasool interned with Geo TV, the colleagues said.
Baluchistan–Pakistan’s largest province by area and smallest by population–is mired in an insurgency and sectarian strife. Its residents face criminal activity, daily disappearances, and targeted killings, and international journalists are routinely denied access to the province. Local journalists in Baluchistan face pressure from a number of sources: pro-Taliban groups and Pakistani security forces and intelligence agencies, as well as separatists and state-sponsored anti-separatist militant groups, according to CPJ research.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
106,Ghulam Rasool Birhamani,Daily Sindhu Hyderabad,"May 9 or 10, 2010",Pakistan,Killed,Murder,,"
The body of Birhamani, 40, a reporter for the Daily Sindhu
Hyderabad, was found outside his hometown of Wahi Pandhi, Sindh province, on
May 10, a day after he was reported kidnapped. The Pakistan Federal Union of
Journalists and the media support group Pakistan Press Foundation reported that
his body was badly scarred and showed evidence of torture.
Birhamani’s family believed he was killed because of his
reporting on ethnic issues in Sindh province, the journalists union said. A
colleague told the newspaper Dawn that Birhamani’s story on the marriage of a
12-year-old girl to a 22-year-old man might have been the specific trigger for
the attack. Birhamani had received threats from members of the Lashari tribe
just days before he was seized, the press foundation said.
Hundreds of journalists turned out for a march to protest
his killing. Dawn quoted some of the demonstrators as saying that police were
reluctant to investigate because of political sensitivities. The journalists
union said Birhamani had worked for many years for various Sindhi-language
dailies. He left behind a wife, two sons, and a daughter.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
107,Ghulam Rasool Sheikh,Rehnuma-e-Kashmir and Saffron Times,"April 10, 1996",India,Killed,Murder,,"
Sheikh, editor of the Urdu-language daily Rehnuma-e-Kashmir and the English-language weekly Saffron Times, was found dead on April 10 floating in Kashmir’s Jhelum River. He had written about an increase in killings and arson incidents his hometown, Pampore. Family members say a militia group backed by Indian state security forces had kidnapped him in March.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
108,Gyanendra Khadka,Rastriya Samachar Samiti,"September 7, 2003",Nepal,Killed,Murder,,"

Khadka, 35, a journalist with the state-owned news agency Rastriya Samachar Samiti (RSS), was brutally murdered in Nepal’s eastern Sindhupalchowk District by a group of suspected Maoist rebels.
According to RSS, the rebels took Khadka away from a school where he taught part time and led him to a nearby field, where they tied his hands to a pole and slit his throat. No motive is known for his murder, but during Nepal’s 7-year-old civil war, both rebels and government security forces have targeted journalists. Local journalists believe that the rebels killed Khadka because he was a journalist.
Khadka is the first journalist to be killed in Nepal since the rebels broke a cease-fire agreement with government forces in August. His murder came amid intensified violence in the country, as well as increased attacks on journalists.
Khadka’s murder has outraged the journalistic community in Nepal. A group of at least 30 journalists gathered to peacefully protest the killing on September 11, but police dispersed them and detained them briefly for defying a ban on demonstrations.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
109,Harunur Rashid,Dainik Purbanchal,"March 2, 2002",Bangladesh,Killed,Murder,,"
Rashid, a reporter for the Bengali-language newspaper Dainik Purbanchal,
was ambushed by gunmen while he was riding his motorcycle to work in
the southwestern city of Khulna, according to Bangladeshi and
international news reports. Dainik Purbanchal, which is published in Khulna, is a well-regarded regional daily.
Three unidentified young men brought Rashid to a hospital, told doctors
he had been injured in a car accident, and then disappeared. A doctor
at the hospital told the Dhaka-based newspaper The Independent that Rashid had suffered a fatal bullet wound to his chest.
Rashid, also known as Rashid Khukon, was a crime reporter who had
written several stories on official corruption and links between
criminal syndicates and outlawed Maoist guerrilla groups, including the
Purbo Bangla Communist Party (PBCP). Rashid’s relatives told reporters
that he was on a PBCP hit list. Though the PBCP issued a statement
denying responsibility for Rashid’s murder, some colleagues said a
splinter faction of the group may be behind the killing.
The reporter had received anonymous death threats throughout his career
and, for the last year, had been provided police protection. However,
he did not always travel with security guards.
Local journalists believe Rashid was killed for his reporting. Amiya
Kanti Pal, a former colleague, told Reuters that, “Rashid was a brave
reporter. We suspect that the criminals he wrote about might be behind
his murder.”
          The Criminal Investigation Department, a federal law enforcement body, is investigating the case.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
110,Hayatullah Khan,freelance,"June 16, 2006",Pakistan,Killed,Murder,,"
Khan’s body was found by villagers in the North Waziristan
town of Miran Shah, where he had been kidnapped six months earlier. Khan was
abducted on December 5, 2005, by five gunmen who ran his car off the road as
his younger brother, Haseenullah, watched helplessly. Local government
officials and family members said Khan, 32, had been found handcuffed and shot
several times. His body appeared frail and he had grown a long beard since he
was last seen, Pakistani journalists told CPJ.
The day before his abduction, Khan photographed what
apparently were the remnants of a U.S.-made missile said to have struck a house
in Miran Shah on December 1, 2005, killing senior Al-Qaeda figure Hamza Rabia.
The pictures, widely distributed by the European Pressphoto Agency on the day
they were shot, contradicted the Pakistani government’s explanation that Rabia
had died in a blast caused by explosives within the house. International news media
identified the fragments in the photographs as part of a Hellfire missile,
possibly fired from a U.S. drone.
Khan, who was also a reporter for the Urdu-language daily
Ausaf, had received numerous threats from Pakistani security forces, Taliban
members, and local tribesmen because of his reporting.
During Khan’s six-month disappearance, government officials
provided his family with numerous and often contradictory accounts of his
whereabouts: Khan was in government custody, soon to be released; Khan had been
abducted by  “miscreants”;  he had been taken by Waziristan mujahideen;
he had been flown to the military base at Rawalpindi and was then detained in
Kohat air base.
Khan’s relatives were told by hospital workers that he had
five or six bullet wounds and that one hand had been manacled in handcuffs
typically used by Pakistan’s Inter-Services Intelligence Directorate. Mahmud
Ali Durrani, Pakistan’s ambassador to the United States, dismissed the reported
presence of the handcuffs as circumstantial and said the cuffs could have been
planted to incriminate the government. No autopsy was performed.
An investigation led by High Court Justice Mohammed Reza
Khan was conducted, but the results were not made public. Hayatullah Khan’s
family said they were not interviewed by the judge or other investigators.
North West Frontier Gov. Ali Mohammad Jan Orakzai told CPJ that North
Waziristan was not secure enough to risk exposing a judicial figure to
kidnapping or death. CPJ has repeatedly sought the release of the report,
making a direct request to President Asif Ali Zardari in 2011. The report
remained a secret as of February 2013.
In November 2007, Khan’s widow was killed in a bomb that was
detonated outside her home. 

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
111,Humayun Kabir,Janmabhumi,"June 24, 2004",Bangladesh,Killed,Murder,,"

On June 24, 2004, an unidentified assailant threw bombs at Humayun Kabir, editor of the Bangla-language daily Janmabhumi, while he was outside his home in the southwestern Bangladeshi city of Khulna with his family, killing him, according to local news reports.
Witnesses told the English-language Daily Star that the assailant, posing as a peanut seller, approached Kabir and tossed at least two homemade bombs at him, critically injuring him in the abdomen and the legs. Kabir was taken to Khulna Medical College Hospital and died soon thereafter. Kabir’s son Asif also suffered minor injuries on his legs and was treated at a local clinic.
An underground leftist group known as Janajuddha (People’s War), a faction of the Purbo Banglar Communist Party, claimed responsibility for the killing in phone calls to several local newspapers and journalists the day of the murder, according to local journalists.
Kabir, 58, was a veteran journalist and the president of the Khulna Press Club. He published bold articles criticizing organized crime groups in Bangladesh’s southwestern region. After his friend and fellow journalist Manik Saha was killed in a similar attack earlier in 2004, Kabir criticized the criminal groups implicated in Saha’s killing. Janajuddha also claimed responsibility for killing Saha.
Kabir had recently received death threats, according to local news reports.
Prime Minister Khaleda Zia and other high-ranking government officials condemned Kabir’s murder and pledged to find and punish those responsible. Local journalist groups spoke out against the killing and called for a week of mourning.
Shortly after the attack, local police said they detained nine suspects, the BBC reported.
Two other suspects in the case, leaders of the Janajuddha faction, died in separate shootouts with police in late August 2004. Authorities accuse the deceased suspects–Altaf Hossain and Imam Sarder–of involvement in Kabir’s killing and say they were also responsible for killing Saha, according to local news reports.
In 2008, seven of the accused were acquitted, according to the Daily Star. On January 18, 2021, a court in Khulna sentenced five people to life in prison and fined them 10,000 Takas (US $118) for their involvement in the killing, according to that report, which identified the five as Syed Iqbal Hossain, Zahid Hossain, Nazul, Masum, and Rimon, and noted that Masum had absconded at the time of the sentencing.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
112,Iliyas Hossain,Dainik Bijoy,"October 11, 2020",Bangladesh,Killed,Murder,,"
Iliyas Hossain, 45, a correspondent for the local Bangla daily newspaper, Dainik Bijoy, was repeatedly stabbed while returning home from work on the evening of October 11, 2020, in Narayanganj, a suburb of Dhaka, according to news reports and a photo of the body, which CPJ has seen. He was found in the street and taken to a hospital, where he was declared dead. 
Hossain’s wife Zuleka Begum filed a murder case with the police that evening, naming eight suspects, according to news reports. Within a day of the murder, police had arrested three suspects in the case, and sought five more, according to the reports, which quoted an officer in charge at the Bandar Police Station, in Narayanganj. One of the suspects confessed to the murder in police custody and later before a magistrate, according to the reports.
CPJ’s text messages to officers at the Bandar Police Station were not answered.
The murder was carried out in revenge for Hossain’s articles in the Dainik Bijoy, which CPJ has seen, alleging that the suspects illegally connected gas lines, according to those reports. As a result of the allegations, the suspects were jailed but carried out the alleged murder after they were released on bail, according to the reports.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
113,Imran Shaikh,Samaa TV,"January 10, 2013",Pakistan,Killed,Dangerous Assignment,,"
Shaikh,
35, a senior cameraman for Samaa TV, was in a bomb blast that occurred 10
minutes after an initial explosion near a billiards hall in Quetta, capital of
Baluchistan province, according to Samaa TV senior producer Azam Gondal and
news reports.
Shaikh’s
colleague, Saif ur Rehman, a senior reporter for Samaa TV, was also severely
injured in the blast and died a few hours later in a hospital, according to Zahid
Hussain, Samaa TV director of news.
The
twin explosions killed dozens, including police, emergency workers, and
journalists who rushed to the scene of the first explosion, according to news
reports. The billiards hall is in a predominantly Shia area of Quetta. The explosions
were part of a series of bomb attacks reported across Pakistan that day, news
reports said.
The
Associated Press reported that Lashkar-e-Jhangvi, a sectarian militant group,
claimed responsibility for the explosions. Bakar Saddiq, a spokesman for the
group, said a suicide bomber carried out the first attack, while the second was
a car bomb that had been detonated remotely, the AP said. 
Shaikh
had worked for Samaa TV for five years. He is survived by his wife and two
young daughters.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
114,Indika Pathinivasan,Maharaja Television Network,"December 18, 1999",Sri Lanka,Killed,Dangerous Assignment,,"
Anura Pathinivasan, a camera assistant for Sri Lanka’s privately owned Maharaja Television Network, and Indika Priyantha, a camera assistant for the state-owned Independent Television Network, were fatally wounded by shrapnel from a suicide bomb aimed at President Chandrika Bandaranaike Kumaratunga at an election rally in Colombo. Five other journalists were injured by the blast, along with Kumaratunga and scores of onlookers.
The bomb exploded at around 10 p.m. near a barrier separating journalists, including Pathinivasan and Priyantha, from Kumaratunga and a car that had arrived to pick her up. At least 22 people were killed in the assassination attempt, according to police.
Pathinivasan died instantly of shrapnel wounds. Priyantha died later at a Colombo hospital.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
115,Irshad Mastoi,"Online International News Network, ARY News","August 28, 2014",Pakistan,Killed,Murder,,"
Two unidentified gunmen stormed the offices of the independent news agency Online International News Network in Quetta, the capital of Baluchistan province, and shot dead Mastoi, the agency’s bureau chief, and reporter-in-training Ghulam Rasool. A network employee, accountant Muhammad Younus, was also killed, according to news reports. The assailants fled the scene after the attack, according to reports.
Mastoi, 34, was secretary-general of the Baluchistan Union of Journalists, the largest journalist body in the southwestern province, according to Malik Siraj Akbar, editor and founder of The Baloch Hal news website. Mastoi was an assignment editor for the privately owned news channel ARY News and had written for publications including The Express Tribune. He had reported on issues including the political situation in the restive region of Baluchistan, according to colleagues.
Mastoi’s friends, family, and colleagues said that he had been threatened by an array of actors, including sectarian and militant groups, such as the banned Lashkar-e-Jhangvi, and Baloch security agencies, according to reports. Shortly before his death, he told a friend that someone had been threatening him on the phone, but did not offer further details, the reports said.
Baluchistan–Pakistan’s largest province by area and smallest by population–has been mired in an insurgency and sectarian strife. Its residents face criminal activity, daily disappearances, and targeted killings, and international journalists are routinely denied access to the province, according to CPJ research. Local journalists in Baluchistan face pressure from a number of sources: pro-Taliban groups and Pakistani security forces and intelligence agencies, as well as separatists and state-sponsored anti-separatist militant groups, CPJ research shows.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
116,Isaivizhi Chempiyan,Voice of Tigers,"November 27, 2007",Sri Lanka,Killed,Crossfire,,"
Announcer Isaivizhi Chempiyan and technicians Suresh Linbiyo and T. Tharmalingam were killed in a Sri Lankan Air Force air strike. Fighter jets dropped a dozen bombs on the station shortly before Velupillai Prabhakaran, leader of the separatist Liberation Tigers of Tamil Eelam (LTTE), was due to broadcast a statement. At least five other people were killed in the strike against the LTTE-run station, according to local media reports.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
117,Jagadish Babu,Eenadu Television (E-TV),"November 19, 1997",India,Killed,Dangerous Assignment,,"
Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TV cameraman; Srinivas Rao and Krishna, assistant cameramen for E-TV; and Raja Sekhar, an assistant for E-TV, were killed in a car bomb explosion while covering the making of a film. 

As they were leaving the Rama Naidu Studios in Hyderabad, their vehicle caught the brunt of the massive blast, which police said was caused by a remote control car bomb parked by the studio entrance. The television crew’s driver, P. Chandra Sekhar Reddy, was also killed. At least 17 others died and more than 30 were injured. The attack is believed to have been motivated by political rivalry targeted at the film’s producer, Paritala Ravi, a former guerrilla leader pardoned in return for his surrender. Ravi is also a state legislator and member of the governing Telugu Desam party.

Share this:TwitterFacebookWhatsAppLinkedInEmailTelegram 
"
